"3CLA","1","1","SN9","","Classics Level 3","13","NCEA Level 3","Social Science","MKI","16","/ 31","2026TT","3CLA||1|1|0|MKI|SN9|16|31|||8|1|0||"
"3DRA","2","1","RS5","","Drama Level 3","13","NCEA Level 3","Drama","LMB","6","/ 6","2026TT","3DRA||2|1|0|LMB|RS5|6|6|||8|1|0||"
"1DTE","6","1","PR11","","Digital Technologies Level 1","11","Year 11 Diploma","Technology","HHN","4","/ 4","2026TT","1DTE||6|1|0|HHN|PR11|4|4|||8|1|0|16|200001693"
"2DTE","6","1","PR11","","Digital Technologies Level 2","12","NCEA Level 2","Technology","HHN","3","/ 3","2026TT","2DTE||6|1|0|HHN|PR11|3|3|||8|1|0|16|200001693"
"3DTE","6","1","PR11","","Digital Technologies Level 3","13","NCEA Level 3","Technology","HHN","9","/ 9","2026TT","3DTE||6|1|0|HHN|PR11|9|9|||8|1|0|16|200001693"
"3BIO","3","1","TWM8","","Biology Level 3","13","NCEA Level 3","Science","GTD","27","/ 72","2026TT","3BIO||3|1|0|GTD|TWM8|27|72|||8|1|0||"
"1ECO","6","1","SN3","","Economics & Business Level 1","11","Year 11 Diploma","Social Science","AUG","23","/ 34","2026TT","1ECO||6|1|0|AUG|SN3|23|34|||8|1|0||"
"2BIO","1","1","TWM8","","Biology Level 2","12","NCEA Level 2","Science","TLG","19","/ 63","2026TT","2BIO||1|1|0|TLG|TWM8|19|63|||8|1|0||"
"1FRE","6","1","SN1","","French Level 1","11","Year 11 Diploma","Languages","TLD","8","/ 8","2026TT","1FRE||6|1|0|TLD|SN1|8|8|||8|1|0||"
"1ENG","3","1","SN11","","Academic English Level 1","11","Year 11 Diploma","English","SNP","27","/ 80","2026TT","1ENG||3|1|0|SNP|SN11|27|80|||8|1|0||"
"3HIS","4","1","TWM15","","History Level 3","13","NCEA Level 3","Social Science","SCH","31","/ 34","2026TT","3HIS||4|1|0|SCH|TWM15|31|34|||8|1|0||"
"3TOU","1","1","TWM13","","Tourism Studies","13","NCEA Level 3","Tourism","SCH","13","/ 13","2026TT","3TOU||1|1|0|SCH|TWM13|13|13|||8|1|0||"
"1DNC","2","1","RS4","","Dance Level 1","11","Year 11 Diploma","Dance","RSN","11","/ 11","2026TT","1DNC||2|1|0|RSN|RS4|11|11|||8|1|0||"
"1GEO","3","1","TWM15","","Geography Level 1","11","Year 11 Diploma","Social Science","RCH","17","/ 17","2026TT","1GEO||3|1|0|RCH|TWM15|17|17|||8|1|0||"
"1MTC","3","1","CG3","","Combined Maths Level 1","11","Year 11 Diploma","Mathematics","PNH","15","/ 42","2026TT","1MTC||3|1|0|PNH|CG3|15|42|||8|1|0||"
"3MAC","5","1","PR2","","Calculus Level 3","13","NCEA Level 3","Mathematics","MSL","15","/ 31","2026TT","3MAC||5|1|0|MSL|PR2|15|31|||8|1|0||"
"1JPN","1","1","SN2","","Japanese Level 1","11","Year 11 Diploma","Languages","ITO","7","/ 7","2026TT","1JPN||1|1|0|ITO|SN2|7|7|||8|1|0||"
"2CHE","4","1","TWM5","","Chemistry Level 2","12","NCEA Level 2","Science","BDI","21","/ 46","2026TT","2CHE||4|1|0|BDI|TWM5|21|46|||8|1|0||"
"1DVC","4","1","PR8","","Design and Visual Communication Level 1","11","Year 11 Diploma","Technology","AMS","19","/ 19","2026TT","1DVC||4|1|0|AMS|PR8|19|19|||8|1|0||"
"1ENP","2","1","SN11","","Practical English Level 1","11","Year 11 Diploma","English","SNP","15","/ 52","2026TT","1ENP||2|1|0|SNP|SN11|15|52|||8|1|0||"
"1SCI","4","1","TWM10","","Science Level 1","11","Year 11 Diploma","Science","GTD","30","/ 90","2026TT","1SCI||4|1|0|GTD|TWM10|30|90|||8|1|0||"
"1ENP","5","1","SN8","","Practical English Level 1","11","Year 11 Diploma","English","FNZ","19","/ 52","2026TT","1ENP||5|1|0|FNZ|SN8|19|52|||8|1|0||"
"1MAT","6","1","CG1","","Mathematics Level 1","11","Year 11 Diploma","Mathematics","FGN","20","/ 47","2026TT","1MAT||6|1|0|FGN|CG1|20|47|||8|1|0||"
"1HIS","2","1","TWM13","","History Level 1","11","Year 11 Diploma","Social Science","EVC","17","/ 42","2026TT","1HIS||2|1|0|EVC|TWM13|17|42|||8|1|0||"
"1SCI","5","1","TWM8","","Science Level 1","11","Year 11 Diploma","Science","BDI","31","/ 90","2026TT","1SCI||5|1|0|BDI|TWM8|31|90|||8|1|0||"
